,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.17217369315349368,0.004009653413672072,0.1039532362755717,0.10651818831770607,-0.3509422968379083,-0.4282751771247044,0.5429641642117949,0.2693972081108467,0.4940578883698825,0.17227532437534676,0.07073348527439119,0.27864169219205925
tempC,0.17217369315349368,1.0,0.03282392445285229,0.46375417967748395,-0.8089278797035431,-0.046291400842556354,-0.2085089076133246,-0.16037279827202117,0.9436309458292079,0.32336223600704156,0.999945279049849,-0.09133582784704339,0.9609883444428677
windspeedKmph,0.004009653413672072,0.03282392445285229,1.0,0.06822560968850268,-0.2667198714169709,-0.11435179814124088,-0.007080612113363574,0.06410221089280405,-0.07923554837818614,-0.3645833231142328,0.032853883302687015,0.9673341789417924,-0.05681041794168713
cond,0.1039532362755717,0.46375417967748395,0.06822560968850268,1.0,-0.45774642245485225,-0.0704342183553423,-0.07374933823036087,-0.012455730544013518,0.4189893376868629,0.03436528233837473,0.46368978800879823,0.006026676133543781,0.4356303094210544
humidity,0.10651818831770607,-0.8089278797035431,-0.2667198714169709,-0.45774642245485225,1.0,0.03740957276737609,0.005566890869260301,0.24154752325350037,-0.6421340490606627,0.18834939653878283,-0.8088899974698968,-0.12446277169914294,-0.671367770374176
visibility,-0.3509422968379083,-0.046291400842556354,-0.11435179814124088,-0.0704342183553423,0.03740957276737609,1.0,0.6317383589550921,-0.2109552594056171,0.04489328939427832,-0.20386501911241903,-0.04634572436713484,-0.16362830902254355,-0.023172322044694087
pressure,-0.4282751771247044,-0.2085089076133246,-0.007080612113363574,-0.07374933823036087,0.005566890869260301,0.6317383589550921,1.0,-0.2833755042027435,-0.18621557920438947,-0.39959293520471095,-0.20847176080005592,-0.01891312912971909,-0.27194306093347126
cloudcover,0.5429641642117949,-0.16037279827202117,0.06410221089280405,-0.012455730544013518,0.24154752325350037,-0.2109552594056171,-0.2833755042027435,1.0,-0.10592579120677481,0.15169433229448567,-0.16018100727830714,0.14538315369931687,-0.09327502223097228
heatIndexC,0.2693972081108467,0.9436309458292079,-0.07923554837818614,0.4189893376868629,-0.6421340490606627,0.04489328939427832,-0.18621557920438947,-0.10592579120677481,1.0,0.5225246964744856,0.9436595305446962,-0.1827668368055089,0.983334953092253
dewPointC,0.4940578883698825,0.32336223600704156,-0.3645833231142328,0.03436528233837473,0.18834939653878283,-0.20386501911241903,-0.39959293520471095,0.15169433229448567,0.5225246964744856,1.0,0.3235165463365591,-0.3424083872900658,0.4897862443773906
windChillC,0.17227532437534676,0.999945279049849,0.032853883302687015,0.46368978800879823,-0.8088899974698968,-0.04634572436713484,-0.20847176080005592,-0.16018100727830714,0.9436595305446962,0.3235165463365591,1.0,-0.09130220536438424,0.9609753501773717
windGustKmph,0.07073348527439119,-0.09133582784704339,0.9673341789417924,0.006026676133543781,-0.12446277169914294,-0.16362830902254355,-0.01891312912971909,0.14538315369931687,-0.1827668368055089,-0.3424083872900658,-0.09130220536438424,1.0,-0.168274892950657
feelsLikeC,0.27864169219205925,0.9609883444428677,-0.05681041794168713,0.4356303094210544,-0.671367770374176,-0.023172322044694087,-0.27194306093347126,-0.09327502223097228,0.983334953092253,0.4897862443773906,0.9609753501773717,-0.168274892950657,1.0
