,precipMM,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
precipMM,1.0,0.2123357244514228,-0.32679305564996547,0.3891759562063836,0.3797618763255789,-0.6781438033324776,-0.5745638726282905,0.43704435833050487,0.4254336249605978,0.6681671881876902,0.21261498592387132,-0.2767405145780834,0.4252567158161986
tempC,0.2123357244514228,1.0,-0.6579633974274254,0.3690813792491559,-0.5194229246548091,-0.09251976781913797,-0.442481452036278,-0.2453750849482732,0.9283587960922925,0.40647037297138566,0.9999766111031771,-0.6969672672287934,0.928392884114533
windspeedKmph,-0.32679305564996547,-0.6579633974274254,1.0,-0.468076986348224,0.09568987025986923,0.27332399480977376,0.3044023305969591,-0.015813456721814178,-0.7098920643356723,-0.46553197201595303,-0.6578923632540081,0.983766979208028,-0.7094369776471322
cond,0.3891759562063836,0.3690813792491559,-0.468076986348224,1.0,0.08022006685482527,-0.46418894910442415,-0.42158627469531074,0.2617087242842547,0.46650490530434763,0.4317048732269373,0.3689482429942069,-0.43196788848299517,0.46621936659376545
humidity,0.3797618763255789,-0.5194229246548091,0.09568987025986923,0.08022006685482527,1.0,-0.5086818748257995,-0.20821987783819543,0.5288819596050339,-0.21655158145413667,0.5042932203970091,-0.5191745352638316,0.17795280684446313,-0.21668544510815785
visibility,-0.6781438033324776,-0.09251976781913797,0.27332399480977376,-0.46418894910442415,-0.5086818748257995,1.0,0.5720794194345189,-0.5495727041233833,-0.3377208613784001,-0.6862343735886332,-0.09284243395656105,0.1885979370322304,-0.3374543640307886
pressure,-0.5745638726282905,-0.442481452036278,0.3044023305969591,-0.42158627469531074,-0.20821987783819543,0.5720794194345189,1.0,-0.3718658501310985,-0.6105438940765171,-0.7253611244264448,-0.44286807395066113,0.27084295685995474,-0.6104318018857287
cloudcover,0.43704435833050487,-0.2453750849482732,-0.015813456721814178,0.2617087242842547,0.5288819596050339,-0.5495727041233833,-0.3718658501310985,1.0,-0.044263098129485895,0.3487320260463125,-0.24516511569325555,0.08183138949006154,-0.04451378152164896
heatIndexC,0.4254336249605978,0.9283587960922925,-0.7098920643356723,0.46650490530434763,-0.21655158145413667,-0.3377208613784001,-0.6105438940765171,-0.044263098129485895,1.0,0.6923729925333519,0.9284664364367874,-0.7169693766364021,0.9999853197842407
dewPointC,0.6681671881876902,0.40647037297138566,-0.46553197201595303,0.4317048732269373,0.5042932203970091,-0.6862343735886332,-0.7253611244264448,0.3487320260463125,0.6923729925333519,1.0,0.40673334611019213,-0.41406156887871776,0.6923384069080212
windChillC,0.21261498592387132,0.9999766111031771,-0.6578923632540081,0.3689482429942069,-0.5191745352638316,-0.09284243395656105,-0.44286807395066113,-0.24516511569325555,0.9284664364367874,0.40673334611019213,1.0,-0.6968931082828289,0.9285017685342438
windGustKmph,-0.2767405145780834,-0.6969672672287934,0.983766979208028,-0.43196788848299517,0.17795280684446313,0.1885979370322304,0.27084295685995474,0.08183138949006154,-0.7169693766364021,-0.41406156887871776,-0.6968931082828289,1.0,-0.716582217071984
feelsLikeC,0.4252567158161986,0.928392884114533,-0.7094369776471322,0.46621936659376545,-0.21668544510815785,-0.3374543640307886,-0.6104318018857287,-0.04451378152164896,0.9999853197842407,0.6923384069080212,0.9285017685342438,-0.716582217071984,1.0
